workflow,task,kind,text,subject_kind,subject_ref,operator,value
epics,review-epics,done,Every epic traces to something the brief or the SOW commits to,,,,
epics,review-epics,done,Every epic names the milestone it serves,,,,
epics,review-epics,done,"What the brief leaves unclear is an open question, not a guessed epic",,,,
sprint-0,tailor-delivery-plan,done,The delivery plan is published,document,delivery plan,status,published
sprint-0,review-delivery-plan,done,The delivery plan is published,document,delivery plan,status,published
sprint-0,review-delivery-plan,done,Every role the plan names is staffed on the roster,,,,
sprint-0,approve-delivery-plan,done,The delivery plan is published,document,delivery plan,status,published
sprint-0,approve-delivery-plan,done,"The plan the team will actually run is this one — departures from the standard lifecycle are named, not assumed",,,,
sprint-0,approve-delivery-plan,done,"The delivery plan is accepted by the product manager, and their name is on the close",,,,
sprint-0,draft-foundation-architecture,done,The foundation architecture is published,document,foundational-architecture,status,published
sprint-0,draft-foundation-architecture,done,Every epic has a named home in the architecture,,,,
sprint-0,draft-ways-of-working,done,Ways of working is published,document,ways-of-working,status,published
sprint-0,review-ways-of-working,done,Ways of working is published,document,ways-of-working,status,published
sprint-0,review-ways-of-working,done,"Every ceremony names who runs it and how often, rather than that it happens",,,,
sprint-0,approve-ways-of-working,done,Ways of working is published,document,ways-of-working,status,published
sprint-0,approve-ways-of-working,done,"It is an agreement the team has actually made, not one written on their behalf",,,,
sprint-0,approve-ways-of-working,done,"The working agreement is accepted by the product manager, and their name is on the close",,,,
sprint-0,draft-sprint-plan,done,This sprint's plan is published,document,sprint-plans,status,published
sprint-0,draft-sprint-plan,done,Every committed story belongs to an epic,ticket,committed-have-epic,is,true
sprint-0,draft-sprint-plan,done,Every committed story is on the board with an owner,ticket,on-board,is,true
sprint-0,draft-sprint-plan,done,"The plan fits the roster's capacity, or says where it does not",,,,
sprint-0,draft-sprint-plan,done,Work taken on that was not in the plan is recorded as unplanned,,,,
sprint-0,kickoff,done,The kickoff record is published,document,kickoff,status,published
sprint-0,kickoff,done,"Kickoff happened — the Delivery Manager confirms it, and their name is on the close",,,,
sprint,,ready,The delivery plan is published,document,delivery plan,status,published
sprint,sprint-planning,done,This sprint's plan is published,document,sprint-plans,status,published
sprint,sprint-planning,done,Every committed story belongs to an epic,ticket,committed-have-epic,is,true
sprint,sprint-planning,done,Every committed story is on the board with an owner,ticket,on-board,is,true
sprint,sprint-planning,done,"The plan fits the roster's capacity, or says where it does not",,,,
sprint,sprint-planning,done,Work taken on that was not in the plan is recorded as unplanned,,,,
sprint,sprint-review,done,The review is published,document,05-cadence/sprint-reviews,status,published
sprint,review-sprint-review,done,The review is published,document,05-cadence/sprint-reviews,status,published
sprint,review-sprint-review,done,Every story that did not land says why,,,,
sprint,approve-sprint-review,done,The review is published,document,05-cadence/sprint-reviews,status,published
sprint,approve-sprint-review,done,"It reports what happened rather than what was hoped for — a sprint that missed says so",,,,
sprint,approve-sprint-review,done,"The sprint review is accepted by the product manager, and their name is on the close",,,,
sprint,sprint-retro,done,The retro is published,document,05-cadence/retros,status,published
sprint,review-retro,done,The retro is published,document,05-cadence/retros,status,published
sprint,review-retro,done,"Actions have a named owner, or are recorded as not taken",,,,
sprint,approve-retro,done,The retro is published,document,05-cadence/retros,status,published
sprint,approve-retro,done,"Actions carried over from the last retro are accounted for, not silently dropped",,,,
sprint,approve-retro,done,"The retro is accepted by the product manager, and their name is on the close",,,,
foundation-architecture,research-architecture,done,The research is published,document,architecture-research,status,published
foundation-architecture,review-research,done,The research is published,document,architecture-research,status,published
foundation-architecture,review-research,done,"Every constraint names where it came from — a system, a document, or a person who said it",,,,
foundation-architecture,review-research,done,"What could not be found out is listed, not left as a gap the architecture quietly fills",,,,
foundation-architecture,review-research,done,Every finding says what it would cost to be wrong about,,,,
foundation-architecture,review-research,done,"A review that found nothing says so explicitly, rather than closing in silence",,,,
foundation-architecture,approve-research,done,The research is published,document,architecture-research,status,published
foundation-architecture,approve-research,done,"The research covers the ground this architecture has to stand on, or names what it does not",,,,
foundation-architecture,approve-research,done,"The research is accepted by the principal engineer, and their name is on the close",,,,
foundation-architecture,derive-architecture,done,The architecture is published,document,foundational-architecture,status,published
foundation-architecture,review-architecture,done,The architecture is published,document,foundational-architecture,status,published
foundation-architecture,review-architecture,done,Every decision names what it beat and why — an option not considered is not a decision,,,,
foundation-architecture,review-architecture,done,Every constraint the research surfaced is either honoured or explicitly overruled,,,,
foundation-architecture,review-architecture,done,"Each decision is judged against the research, not against the reviewer's preference",,,,
foundation-architecture,review-architecture,done,"Disagreements are recorded as findings the approver can rule on, not resolved privately",,,,
foundation-architecture,approve-architecture,done,The architecture is published,document,foundational-architecture,status,published
foundation-architecture,approve-architecture,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
foundation-architecture,approve-architecture,done,"The architecture is accepted by the principal engineer, and their name is on the close",,,,
foundation-architecture,scaffold-foundation,done,The scaffold record is published,document,scaffold-record,status,published
foundation-architecture,review-scaffold,done,The scaffold record is published,document,scaffold-record,status,published
foundation-architecture,review-scaffold,done,"What was created is listed with where it lives, so it can be checked rather than trusted",,,,
foundation-architecture,review-scaffold,done,"The scaffold matches the approved architecture, and any departure is named",,,,
foundation-architecture,review-scaffold,done,Every departure from the architecture is either justified or raised as a finding,,,,
foundation-architecture,approve-scaffold,done,The scaffold record is published,document,scaffold-record,status,published
foundation-architecture,approve-scaffold,done,"The scaffold is accepted by the principal engineer, and their name is on the close",,,,
product-brief,gather-evidence,done,The evidence is published,document,brief-evidence,status,published
product-brief,review-evidence,done,The evidence is published,document,brief-evidence,status,published
product-brief,review-evidence,done,"Every claim carries a source and a date, or is marked as having none",,,,
product-brief,review-evidence,done,"What could not be found out is listed, not left for the brief to assume",,,,
product-brief,approve-evidence,done,The evidence is published,document,brief-evidence,status,published
product-brief,approve-evidence,done,"The sources are ones the brief can rest on, rather than the first thing found",,,,
product-brief,approve-evidence,done,"Nothing the evidence marks as unknown is written as if it were settled",,,,
product-brief,approve-evidence,done,"The evidence is accepted by the product owner, and their name is on the close",,,,
product-brief,draft-brief,done,The brief is published,document,product-brief,status,published
product-brief,review-brief,done,The brief is published,document,product-brief,status,published
product-brief,review-brief,done,Every claim traces to the evidence or is marked as the author's judgment,,,,
product-brief,review-brief,done,Nothing the evidence marks as unknown is presented as settled,,,,
product-brief,review-brief,done,Each finding says what it would cost to be wrong about,,,,
product-brief,review-brief,done,"A review that found nothing says so, rather than closing in silence",,,,
product-brief,answer-review,done,The brief is published,document,product-brief,status,published
product-brief,answer-review,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
product-brief,answer-review,done,"What the client left unclear is an open question, not a guessed requirement",,,,
product-brief,approve-brief,done,The brief is published,document,product-brief,status,published
product-brief,approve-brief,done,"The brief is accepted by the product manager, and their name is on the close",,,,
product-brief,approve-brief,done,"The brief commits to no more than the engagement can be held to, or names where it goes further",,,,
feature,draft-feature,done,The features are published,document,features,status,published
feature,review-feature,done,The features are published,document,features,status,published
feature,review-feature,done,Every feature names the outcome it is betting on,,,,
feature,review-feature,done,"Every feature says how it will be judged — the target, and where the number comes from",,,,
feature,review-feature,done,"Every feature carries a Metric section — what is being measured, its target, and where the number will be read from",,,,
feature,review-feature,done,"Every feature carries a Measurement section, present and empty before launch rather than absent — a section that appears later is one nobody agreed to",,,,
feature,review-feature,done,"Every feature carries a Decision section reserved for persevere, pivot, kill or inconclusive — stated as not yet due, never pre-filled",,,,
feature,review-feature,done,"Each target is judged on whether it could actually be measured, not on whether it sounds right",,,,
feature,approve-feature,done,The features are published,document,features,status,published
feature,approve-feature,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
feature,approve-feature,done,"The features are accepted by the product manager, and their name is on the close",,,,
design-library,research-design,done,The research is published,document,design-research,status,published
design-library,review-design-research,done,The research is published,document,design-research,status,published
design-library,review-design-research,done,"Existing patterns are named — what the client already uses, and what it costs to depart from it",,,,
design-library,review-design-research,done,"A review that found nothing says so explicitly, rather than closing in silence",,,,
design-library,approve-research,done,The research is published,document,design-research,status,published
design-library,approve-research,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
design-library,approve-research,done,"The research is accepted by the product manager, and their name is on the close",,,,
design-library,derive-library,done,The library is published,document,design-library,status,published
design-library,review-library,done,The library is published,document,design-library,status,published
design-library,review-library,done,It LINKS the real artifact — the Figma file or component library — rather than describing it,,,,
design-library,review-library,done,"Each finding names the screen or component it is about, not the library in general",,,,
design-library,approve-library,done,The library is published,document,design-library,status,published
design-library,approve-library,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
design-library,approve-library,done,"The library is accepted by the product manager, and their name is on the close",,,,
sprint-plan,research-capacity,done,The capacity picture is published,document,capacity-research,status,published
sprint-plan,review-capacity,done,The capacity picture is published,document,capacity-research,status,published
sprint-plan,review-capacity,done,"Capacity is derived from the roster and known absence, not assumed from headcount",,,,
sprint-plan,review-capacity,done,Work already in flight is counted against it,,,,
sprint-plan,approve-capacity,done,The capacity picture is published,document,capacity-research,status,published
sprint-plan,approve-capacity,done,"The capacity is one the team can be held to, rather than the one the plan needs",,,,
sprint-plan,approve-capacity,done,"The capacity picture is accepted by the product manager, and their name is on the close",,,,
sprint-plan,draft-sprint-plan,done,This sprint's plan is published,document,sprint-plans,status,published
sprint-plan,draft-sprint-plan,done,Every committed story belongs to an epic,ticket,committed-have-epic,is,true
sprint-plan,draft-sprint-plan,done,Every committed story is on the board with an owner,ticket,on-board,is,true
sprint-plan,review-plan,done,This sprint's plan is published,document,sprint-plans,status,published
sprint-plan,review-plan,done,"The plan fits the capacity that was accepted, or says where it does not",,,,
sprint-plan,review-plan,done,"Each commitment is judged against the accepted capacity, not against ambition",,,,
sprint-plan,approve-plan,done,This sprint's plan is published,document,sprint-plans,status,published
sprint-plan,approve-plan,done,Work taken on that was not in the plan is recorded as unplanned,,,,
sprint-plan,approve-plan,done,"The plan is accepted by the product manager, and their name is on the close",,,,
epics,research-epics,done,The coverage is published,document,epic-research,status,published
epics,review-epic-research,done,The coverage is published,document,epic-research,status,published
epics,review-epic-research,done,"Every feature and milestone is named, with what it still needs to become epics",,,,
epics,approve-research,done,The coverage is published,document,epic-research,status,published
epics,approve-research,done,"Nothing the brief commits to is missing from the coverage, or the gap is named",,,,
epics,approve-research,done,"The coverage is accepted by the product manager, and their name is on the close",,,,
epics,review-epics,done,"Each epic is judged on whether it can be estimated, not on whether it sounds right",,,,
epics,approve-epics,done,The epics are published,document,deliverables,status,published
epics,approve-epics,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
epics,approve-epics,done,"The epics are accepted by the product manager, and their name is on the close",,,,
tech-design,draft-epic-tech-design,done,The epic technical design is published,document,03-architecture/epic/{epic},status,published
tech-design,review-epic-tech-design,done,The epic technical design is published,document,03-architecture/epic/{epic},status,published
tech-design,review-epic-tech-design,done,"Every claim about the code cites a file that was read, not a file that was assumed",,,,
tech-design,review-epic-tech-design,done,"Every story in the epic has a named home in the design, or is called out as not needing one",,,,
tech-design,review-epic-tech-design,done,"Any departure from the foundation or feature architecture is named and justified, not quietly taken",,,,
tech-design,review-epic-tech-design,done,"The design is judged against the architecture above it, not against the reviewer's preference",,,,
tech-design,review-epic-tech-design,done,"A review that found nothing says so explicitly, rather than closing in silence",,,,
tech-design,approve-epic-tech-design,done,The epic technical design is published,document,03-architecture/epic/{epic},status,published
tech-design,approve-epic-tech-design,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
tech-design,approve-epic-tech-design,done,"The technical design is accepted by the principal engineer, and their name is on the close",,,,
feature-architecture,draft-feature-architecture,done,The feature architecture is published,document,03-architecture/features,status,published
feature-architecture,review-feature-architecture,done,The feature architecture is published,document,03-architecture/features,status,published
feature-architecture,review-feature-architecture,done,Every feature has a named home in the architecture,,,,
feature-architecture,review-feature-architecture,done,"Every decision names what it beat and why — an option not considered is not a decision",,,,
feature-architecture,review-feature-architecture,done,"Any departure from the foundation architecture is named and justified, not quietly taken",,,,
feature-architecture,review-feature-architecture,done,"Each decision is judged against the foundation architecture, not against the reviewer's preference",,,,
feature-architecture,review-feature-architecture,done,"A review that found nothing says so explicitly, rather than closing in silence",,,,
feature-architecture,approve-feature-architecture,done,The feature architecture is published,document,03-architecture/features,status,published
feature-architecture,approve-feature-architecture,done,"Every finding from the review is answered — accepted, actioned, or overruled with a reason",,,,
feature-architecture,approve-feature-architecture,done,"The feature architecture is accepted by the principal engineer, and their name is on the close",,,,
build,implement-story,done,A pull request is linked on the story,ticket,pr-linked,is,true
build,implement-story,done,"The checks ran and passed — the pull request is opened only on green, so its absence is the failure and not a delay",,,,
build,implement-story,done,"Every acceptance criterion on the story is implemented, or is named as not covered and why",,,,
build,implement-story,done,"The change is on a branch, never on the default branch",,,,
build,write-e2e-tests,done,"Each test fails without the change and passes with it — a test that passes either way proves nothing",,,,
build,write-e2e-tests,done,"Behaviour deliberately left untested is named on the story, not omitted",,,,
build,write-e2e-tests,done,"The tests are on the same branch as the change they cover",,,,
build,review-pr,done,"Every finding cites a file and a line that appears in this diff, not in code the diff did not touch",,,,
build,review-pr,done,"A review that found nothing says so explicitly, rather than being recorded as no review at all",,,,
build,review-pr,done,"The reviewer did not write the change under review",,,,
build,respond-to-review,done,"Every finding is resolved or answered with a reason — silence on a finding is not an answer",,,,
build,respond-to-review,done,"The checks still pass after the response — an answer that breaks the build is not an answer",,,,
build,approve-build,done,"The change is accepted by the principal engineer, and their name is on the close",,,,
build,approve-build,done,"The diff was read, not just the summary of it",,,,
build,approve-build,done,"The engineer who wrote the change did not accept it",,,,
fix,triage-and-fix,done,A pull request is linked on the ticket,ticket,pr-linked,is,true
fix,triage-and-fix,done,"The failure was reproduced before it was fixed — a change made from the report alone fixes the report, not the fault",,,,
fix,triage-and-fix,done,"The cause is named, not just the symptom that was removed",,,,
fix,triage-and-fix,done,"The change is on a branch, never on the default branch",,,,
fix,write-e2e-tests,done,"The regression test fails without the fix and passes with it — a test that passes either way did not catch this and will not catch it again",,,,
fix,write-e2e-tests,done,"It targets the reported failure, not a nearby one that was easier to write",,,,
fix,review-pr,done,"Every finding cites a file and a line that appears in this diff, not in code the diff did not touch",,,,
fix,review-pr,done,"The review says whether the cause was addressed or only the symptom",,,,
fix,review-pr,done,"The reviewer did not write the fix under review",,,,
fix,respond-to-review,done,"Every finding is resolved or answered with a reason — silence on a finding is not an answer",,,,
fix,respond-to-review,done,"The checks still pass after the response — an answer that breaks the build is not an answer",,,,
fix,approve-fix,done,"The fix is accepted by the principal engineer, and their name is on the close",,,,
fix,approve-fix,done,"The reported failure is gone, checked against the report rather than against the fix",,,,
fix,approve-fix,done,"The engineer who wrote the fix did not accept it",,,,
fix,accumulate-changelog,done,"The entry names the user-visible effect, not the code that changed",,,,
fix,accumulate-changelog,done,"A fix with no user-visible effect says so, rather than being left out",,,,
