workflow,task,kind,text,subject_kind,subject_ref,operator,value
sprint-plan,review-capacity,done,"Capacity is derived from the roster and known absence, not assumed from headcount",,,,
sprint-plan,review-capacity,done,Work already in flight is counted against it,,,,
sprint-plan,approve-capacity,done,"The capacity is one the team can be held to, rather than the one the plan needs",,,,
sprint-plan,review-plan,done,"The plan fits the capacity that was accepted, or says where it does not",,,,
sprint-plan,review-plan,done,"Each commitment is judged against the accepted capacity, not against ambition",,,,
sprint-plan,approve-plan,done,Work taken on that was not in the plan is recorded as unplanned,,,,
epics,review-epic-research,done,"Every feature and milestone is named, with what it still needs to become epics",,,,
epics,approve-research,done,"Nothing the brief commits to is missing from the coverage, or the gap is named",,,,
epics,review-epics,done,"Each epic is judged on whether it can be estimated, not on whether it sounds right",,,,
tech-design,review-epic-tech-design,done,"Every claim about the code cites a file that was read, not a file that was assumed",,,,
tech-design,review-epic-tech-design,done,"Every story in the epic has a named home in the design, or is called out as not needing one",,,,
tech-design,review-epic-tech-design,done,"Any departure from the foundation or feature architecture is named and justified, not quietly taken",,,,
tech-design,review-epic-tech-design,done,"The design is judged against the architecture above it, not against the reviewer's preference",,,,
feature-architecture,review-feature-architecture,done,Every feature has a named home in the architecture,,,,
feature-architecture,review-feature-architecture,done,Every decision names what it beat and why — an option not considered is not a decision,,,,
feature-architecture,review-feature-architecture,done,"Any departure from the foundation architecture is named and justified, not quietly taken",,,,
feature-architecture,review-feature-architecture,done,"Each decision is judged against the foundation architecture, not against the reviewer's preference",,,,
build,implement-story,done,"The checks ran and passed — the pull request is opened only on green, so its absence is the failure and not a delay",,,,
build,implement-story,done,"Every acceptance criterion on the story is implemented, or is named as not covered and why",,,,
build,implement-story,done,"The change is on a branch, never on the default branch",,,,
build,write-e2e-tests,done,Each test fails without the change and passes with it — a test that passes either way proves nothing,,,,
build,write-e2e-tests,done,"Behaviour deliberately left untested is named on the story, not omitted",,,,
build,write-e2e-tests,done,The tests are on the same branch as the change they cover,,,,
build,review-pr,done,"Every finding cites a file and a line that appears in this diff, not in code the diff did not touch",,,,
build,respond-to-review,done,Every finding is resolved or answered with a reason — silence on a finding is not an answer,,,,
build,respond-to-review,done,The checks still pass after the response — an answer that breaks the build is not an answer,,,,
build,approve-build,done,"The diff was read, not just the summary of it",,,,
fix,triage-and-fix,done,"The failure was reproduced before it was fixed — a change made from the report alone fixes the report, not the fault",,,,
fix,triage-and-fix,done,"The cause is named, not just the symptom that was removed",,,,
fix,triage-and-fix,done,"The change is on a branch, never on the default branch",,,,
fix,write-e2e-tests,done,The regression test fails without the fix and passes with it — a test that passes either way did not catch this and will not catch it again,,,,
fix,write-e2e-tests,done,"It targets the reported failure, not a nearby one that was easier to write",,,,
fix,review-pr,done,"Every finding cites a file and a line that appears in this diff, not in code the diff did not touch",,,,
fix,review-pr,done,The review says whether the cause was addressed or only the symptom,,,,
fix,respond-to-review,done,Every finding is resolved or answered with a reason — silence on a finding is not an answer,,,,
fix,respond-to-review,done,The checks still pass after the response — an answer that breaks the build is not an answer,,,,
fix,approve-fix,done,"The reported failure is gone, checked against the report rather than against the fix",,,,
fix,accumulate-changelog,done,"The entry names the user-visible effect, not the code that changed",,,,
fix,accumulate-changelog,done,"A fix with no user-visible effect says so, rather than being left out",,,,
